country;obesityRate;pop2022(per 1000);pop2022
Nauru;61;12,6680;12668
Cook Islands;55,9000;17,0110;17011
Palau;55,3000;18,0550;18055
Marshall Islands;52,9000;41,5690;41569
Tuvalu;51,6000;11,3120;11312
Niue;50;1,9340;1934
Tonga;48,2000;106,8580;106858
Samoa;47,3000;222,3820;222382
Kiribati;46;131,2320;131232
Micronesia;45,8000;114,1640;114164
Kuwait;37,9000;4268,8730;4268873
United States;36,2000;338289,8570;338289857
Jordan;35,5000;11285,8690;11285869
Saudi Arabia;35,4000;36408,8200;36408820
Qatar;35,1000;2695,1220;2695122
Lebanon;33,7000;5489,7390;5489739
Libya;32,5000;6812,3410;6812341
Turkey;32,1000;85341,2410;85341241
Egypt;32;110990,1030;110990103
United Arab Emirates;31,7000;9441,1290;9441129
Bahamas;31,6000;409,9840;409984
New Zealand;30,8000;5185,2880;5185288
Iraq;30,4000;44496,1220;44496122
Fiji;30,2000;929,7660;929766
Bahrain;29,8000;1472,2330;1472233
Canada;29,4000;38454,3270;38454327
Australia;29;26177,4130;26177413
Mexico;28,9000;127504,1250;127504125
Malta;28,9000;533,2860;533286
South Africa;28,3000;59893,8850;59893885
Argentina;28,3000;45510,3180;45510318
Chile;28;19603,7330;19603733
Uruguay;27,9000;3422,7940;3422794
Dominica;27,9000;72,7370;72737
United Kingdom;27,8000;67508,9360;67508936
Syria;27,8000;22125,2490;22125249
Dominican Republic;27,6000;11228,8210;11228821
Algeria;27,4000;44903,2250;44903225
Oman;27;4576,2980;4576298
Tunisia;26,9000;12356,1170;12356117
Hungary;26,4000;9967,3080;9967308
Suriname;26,4000;618,0400;618040
Lithuania;26,3000;2750,0550;2750055
Morocco;26,1000;37457,9710;37457971
Israel;26,1000;9038,3090;9038309
Czech Republic;26;10493,9860;10493986
Iran;25,8000;88550,5700;88550570
Costa Rica;25,7000;5180,8290;5180829
Venezuela;25,6000;28301,6960;28301696
Andorra;25,6000;79,8240;79824
Ireland;25,3000;5023,1090;5023109
Vanuatu;25,2000;326,7400;326740
Bulgaria;25;6781,9530;6781953
Greece;24,9000;10384,9710;10384971
Jamaica;24,7000;2827,3770;2827377
Cuba;24,6000;11212,1910;11212191
El Salvador;24,6000;6336,3920;6336392
Belarus;24,5000;9534,9540;9534954
Croatia;24,4000;4030,3580;4030358
Ukraine;24,1000;39701,7390;39701739
Belize;24,1000;405,2720;405272
Saint Vincent and the Grenadines;24,1000;103,9480;103948
Spain;23,8000;47558,6300;47558630
Nicaragua;23,7000;6948,3920;6948392
Latvia;23,6000;1850,6510;1850651
Montenegro;23,3000;627,0820;627082
Russia;23,1000;144713,3140;144713314
Poland;23,1000;39857,1450;39857145
Norway;23,1000;5434,3190;5434319
Barbados;23,1000;281,6350;281635
Saint Kitts and Nevis;22,9000;47,6570;47657
Haiti;22,7000;11584,9960;11584996
Panama;22,7000;4408,5810;4408581
Luxembourg;22,6000;647,5990;647599
Romania;22,5000;19659,2670;19659267
Solomon Islands;22,5000;724,2730;724273
Germany;22,3000;83369,8430;83369843
Colombia;22,3000;51874,0240;51874024
Finland;22,2000;5540,7450;5540745
Brazil;22,1000;215313,4980;215313498
Belgium;22,1000;11655,9300;11655930
Iceland;21,9000;372,8990;372899
Cyprus;21,8000;1251,4880;1251488
Georgia;21,7000;3744,3850;3744385
Albania;21,7000;2842,3210;2842321
France;21,6000;64626,6280;64626628
Serbia;21,5000;7221,3650;7221365
Honduras;21,4000;10432,8600;10432860
Papua New Guinea;21,3000;10142,6190;10142619
Grenada;21,3000;125,4380;125438
Guatemala;21,2000;17843,9080;17843908
Estonia;21,2000;1326,0620;1326062
Kazakhstan;21;19397,9980;19397998
Portugal;20,8000;10270,8650;10270865
Sweden;20,6000;10549,3470;10549347
Mongolia;20,6000;3398,3660;3398366
Slovakia;20,5000;5643,4530;5643453
Netherlands;20,4000;17564,0140;17564014
Paraguay;20,3000;6780,7440;6780744
Bolivia;20,2000;12224,1100;12224110
Armenia;20,2000;2780,4690;2780469
Slovenia;20,2000;2119,8440;2119844
Guyana;20,2000;808,7260;808726
Austria;20,1000;8939,6170;8939617
Italy;19,9000;59037,4740;59037474
Ecuador;19,9000;18001;18001000
Azerbaijan;19,9000;10358,0740;10358074
Peru;19,7000;34049,5880;34049588
Denmark;19,7000;5882,2610;5882261
Saint Lucia;19,7000;179,8570;179857
Switzerland;19,5000;8740,4720;8740472
Moldova;18,9000;3272,9960;3272996
Botswana;18,9000;2630,2960;2630296
Antigua and Barbuda;18,9000;93,7630;93763
Turkmenistan;18,6000;6430,7700;6430770
Trinidad and Tobago;18,6000;1531,0440;1531044
Bosnia and Herzegovina;17,9000;3233,5260;3233526
Namibia;17,2000;2567,0120;2567012
Yemen;17,1000;33696,6140;33696614
Uzbekistan;16,6000;34627,6520;34627652
Kyrgyzstan;16,6000;6630,6230;6630623
Lesotho;16,6000;2305,8250;2305825
Eswatini;16,5000;1201,6700;1201670
Malaysia;15,6000;33938,2210;33938221
Zimbabwe;15,5000;16320,5370;16320537
Gabon;15;2388,9920;2388992
Tajikistan;14,2000;9952,7870;9952787
Brunei;14,1000;449,0020;449002
Seychelles;14;107,1180;107118
Djibouti;13,5000;1120,8490;1120849
Mauritania;12,7000;4736,1390;4736139
Sao Tome and Principe;12,4000;227,3800;227380
Cape Verde;11,8000;593,1490;593149
Cameroon;11,4000;27914,5360;27914536
Ghana;10,9000;33475,8700;33475870
Mauritius;10,8000;1299,4690;1299469
Ivory Coast;10,3000;28160,5420;28160542
Gambia;10,3000;2705,9920;2705992
Thailand;10;71697,0300;71697030
Liberia;9,9000;5302,6810;5302681
Benin;9,6000;13352,8640;13352864
Republic of the Congo;9,6000;5970,4240;5970424
Guinea-Bissau;9,5000;2105,5660;2105566
Nigeria;8,9000;218541,2120;218541212
Senegal;8,8000;17316,4490;17316449
Sierra Leone;8,7000;8605,7180;8605718
Pakistan;8,6000;235824,8620;235824862
Sudan;8,6000;46874,2040;46874204
Mali;8,6000;22593,5900;22593590
South Sudan;8,6000;10913,1640;10913164
Maldives;8,6000;523,7870;523787
Tanzania;8,4000;65497,7480;65497748
Togo;8,4000;8848,6990;8848699
Somalia;8,3000;17597,5110;17597511
Angola;8,2000;35588,9870;35588987
Zambia;8,1000;20017,6750;20017675
Equatorial Guinea;8;1674,9080;1674908
Comoros;7,8000;836,7740;836774
Guinea;7,7000;13859,3410;13859341
Central African Republic;7,5000;5579,1440;5579144
Mozambique;7,2000;32969,5180;32969518
Kenya;7,1000;54027,4870;54027487
Indonesia;6,9000;275501,3390;275501339
North Korea;6,8000;26069,4160;26069416
DR Congo;6,7000;99010,2120;99010212
Philippines;6,4000;115559,0090;115559009
Bhutan;6,4000;782,4550;782455
China;6,2000;1425887,3370;1425887337
Chad;6,1000;17723,3150;17723315
Singapore;6,1000;5975,6890;5975689
Myanmar;5,8000;54179,3060;54179306
Malawi;5,8000;20405,3170;20405317
Rwanda;5,8000;13776,6980;13776698
Burkina Faso;5,6000;22673,7620;22673762
Afghanistan;5,5000;41128,7710;41128771
Niger;5,5000;26207,9770;26207977
Burundi;5,4000;12889,5760;12889576
Uganda;5,3000;47249,5850;47249585
Madagascar;5,3000;29611,7140;29611714
Laos;5,3000;7529,4750;7529475
Sri Lanka;5,2000;21832,1430;21832143
Eritrea;5;3684,0320;3684032
South Korea;4,7000;51815,8100;51815810
Ethiopia;4,5000;123379,9240;123379924
Japan;4,3000;123951,6920;123951692
Nepal;4,1000;30547,5800;30547580
India;3,9000;1417173,1730;1417173173
Cambodia;3,9000;16767,8420;16767842
Timor-Leste;3,8000;1341,2960;1341296
Bangladesh;3,6000;171186,3720;171186372
Vietnam;2,1000;98186,8560;98186856
