country;obsesityRate(%);obesityRate;obsesityPeople;pop2022;pop2022
Nauru;61 %;61;7727,48;12,6680;12668
Cook Islands;55,9 %;55,9;9509,149;17,0110;17011
Palau;55,3 %;55,3;9984,415;18,0550;18055
Marshall Islands;52,9 %;52,9;21990,001;41,5690;41569
Tuvalu;51,6 %;51,6;5836,992;11,3120;11312
Niue;50 %;50,0;967;1,9340;1934
Tonga;48,2 %;48,2;51505,556;106,8580;106858
Samoa;47,3 %;47,3;105186,686;222,3820;222382
Kiribati;46 %;46,0;60366,72;131,2320;131232
Micronesia;45,8 %;45,8;52287,112;114,1640;114164
Kuwait;37,9 %;37,9;1617902,867;4268,8730;4268873
United States;36,2 %;36,2;122460928,234;338289,8570;338289857
Jordan;35,5 %;35,5;4006483,495;11285,8690;11285869
Saudi Arabia;35,4 %;35,4;12888722,28;36408,8200;36408820
Qatar;35,1 %;35,1;945987,822;2695,1220;2695122
Lebanon;33,7 %;33,7;1850042,043;5489,7390;5489739
Libya;32,5 %;32,5;2214010,825;6812,3410;6812341
Turkey;32,1 %;32,1;27394538,361;85341,2410;85341241
Egypt;32 %;32,0;35516832,96;110990,1030;110990103
United Arab Emirates;31,7 %;31,7;2992837,893;9441,1290;9441129
Bahamas;31,6 %;31,6000;129554,944;409,9840;409984
New Zealand;30,8 %;30,8000;1597068,704;5185,2880;5185288
Iraq;30,4 %;30,4000;13526821,088;44496,1220;44496122
Fiji;30,2 %;30,2000;280789,332;929,7660;929766
Bahrain;29,8 %;29,8000;438725,434;1472,2330;1472233
Canada;29,4 %;29,4000;11305572,138;38454,3270;38454327
Australia;29 %;29;7591449,77;26177,4130;26177413
Mexico;28,9 %;28,9000;36848692,125;127504,1250;127504125
Malta;28,9 %;28,9000;154119,654;533,2860;533286
South Africa;28,3 %;28,3000;16949969,455;59893,8850;59893885
Argentina;28,3 %;28,3000;12879419,994;45510,3180;45510318
Chile;28 %;28;5489045,24;19603,7330;19603733
Uruguay;27,9 %;27,9000;954959,526;3422,7940;3422794
Dominica;27,9 %;27,9000;20293,623;72,7370;72737
United Kingdom;27,8 %;27,8000;18767484,208;67508,9360;67508936
Syria;27,8 %;27,8000;6150819,222;22125,2490;22125249
Dominican Republic;27,6 %;27,6000;3099154,596;11228,8210;11228821
Algeria;27,4 %;27,4000;12303483,65;44903,2250;44903225
Oman;27 %;27;1235600,46;4576,2980;4576298
Tunisia;26,9 %;26,9000;3323795,473;12356,1170;12356117
Hungary;26,4 %;26,4000;2631369,312;9967,3080;9967308
