Entity,Year,Outdoor air pollution,High systolic blood pressure,Diet low in whole grains ,Alcohol use, Diet low in fruits ,Secondhand smoke,Unsafe sex ,Diet low in nuts and seeds, Smoking,High fasting plasma glucose,Air pollution - Sex,High body-mass index,No access to handwashing facility,Drug use , Low bone mineral density ,Vitamin A deficiency , Child stunting - Sex: Both - Age: All Ages (Number), Discontinued breastfeeding,Non-exclusive breastfeeding
China,2010,1330666,2121106,302572,459307,239022,381547,54615,85579,2173614,945968,1870627,533220,10778,67547,76432,48,2610,119,3834
China,2011,1360873,2195255,315676,462594,237409,383243,56047,87732,2187252,972271,1874037,557531,10228,67020,77783,32,2272,99,3447
China,2012,1374597,2231508,322087,466486,232518,379388,56538,87166,2190880,987113,1854111,576568,9729,67076,78650,27,2070,87,3244
China,2013,1392905,2283516,331899,467612,229407,378857,58674,87820,2191240,1012527,1845363,597073,9415,68862,79478,25,1878,78,2939
China,2014,1414215,2330193,339974,471084,226951,379995,63156,87767,2200567,1036740,1844224,618146,8921,72491,81016,24,1672,72,2553
China,2015,1437447,2369583,346841,475068,225036,381555,67530,87326,2218343,1053231,1848574,639810,8723,75533,82961,28,1586,64,2575
China,2016,1459220,2436311,356204,483726,226241,388950,71644,87587,2264059,1035697,1856583,667629,8820,78237,85328,34,1597,65,2636
China,2017,1462551,2484664,365589,489499,226763,395166,73353,87558,2299693,1007336,1840441,694797,8272,80786,86820,29,1437,69,2221
China,2018,1467298,2529231,373499,498447,228032,403593,74071,86809,2344284,1024434,1828243,724651,7772,82950,87953,23,1218,59,1850
China,2019,1516904,2599879,383478,514659,231120,416054,74859,86309,2418665,1067554,1848274,764698,7575,85238,89857,21,1048,50,1637
Colombia,1990,7047,21783,3988,8072,1779,2286,2085,1407,15278,15852,15177,10534,1311,271,823,51,650,193,1526
Colombia,1991,7486,22999,4243,8940,1858,2393,2232,1408,15966,16987,15749,11280,1300,284,886,49,601,182,1494
Colombia,1992,7736,23489,4330,9143,1871,2433,2342,1358,16074,17624,15893,11749,1279,287,915,47,565,174,1453
Colombia,1993,7926,23712,4362,9169,1866,2454,2500,1305,15947,18035,15885,12163,1228,290,932,42,540,166,1385
Colombia,1994,8151,24044,4409,8954,1875,2483,2827,1277,15925,18573,15907,12658,1158,293,943,37,503,155,1294
Colombia,1995,8354,24231,4440,8684,1877,2500,2979,1270,15867,19043,15859,13069,1081,291,979,32,451,139,1180
